,Classe_2024,comparison,count
0,1,bonus,694
1,1,nouveau contrat,69
2,1,same class,3412
3,2,bonus,858
4,2,malus,192
5,2,nouveau contrat,58
6,2,same class,972
7,3,bonus,1195
8,3,malus,110
9,3,nouveau contrat,78
10,3,same class,1121
11,4,bonus,775
12,4,malus,133
13,4,nouveau contrat,828
14,4,same class,1531
15,5,bonus,59
16,5,malus,186
17,5,nouveau contrat,28
18,5,same class,245
19,6,bonus,38
20,6,malus,61
21,6,nouveau contrat,14
22,6,same class,85
23,7,bonus,38
24,7,malus,17
25,7,nouveau contrat,6
26,7,same class,70
27,8,bonus,70
28,8,malus,16
29,8,nouveau contrat,882
30,8,same class,668
31,9,bonus,12
32,9,malus,64
33,9,nouveau contrat,17
34,9,same class,103
35,10,bonus,6
36,10,malus,19
37,10,nouveau contrat,8
38,10,same class,27
39,11,malus,6
40,11,nouveau contrat,4
41,11,same class,8
