N°,Classe,Année,Année_str,Year,Month
101230003111,4,202312,202312,2023,12
101230003112,4,202312,202312,2023,12
101230003114,3,202312,202312,2023,12
101230003115,4,202312,202312,2023,12
101230003120,4,202312,202312,2023,12
101230003118,4,202312,202312,2023,12
101230003210,8,202312,202312,2023,12
101230003216,9,202312,202312,2023,12
101230003211,2,202312,202312,2023,12
101230003225,4,202312,202312,2023,12
101230003215,4,202312,202312,2023,12
101230003220,8,202312,202312,2023,12
101230003218,4,202312,202312,2023,12
101230003221,8,202312,202312,2023,12
101230003223,4,202312,202312,2023,12
101230003222,8,202312,202312,2023,12
101230003228,8,202312,202312,2023,12
101230003227,2,202312,202312,2023,12
101230003232,4,202312,202312,2023,12
101230003226,5,202312,202312,2023,12
101230003243,8,202312,202312,2023,12
101230003230,4,202312,202312,2023,12
101230003231,4,202312,202312,2023,12
101230003233,8,202312,202312,2023,12
101230003235,4,202312,202312,2023,12
101230003234,4,202312,202312,2023,12
101230003237,4,202312,202312,2023,12
101230003238,3,202312,202312,2023,12
101230003239,10,202312,202312,2023,12
101230003240,4,202312,202312,2023,12
101230003248,4,202312,202312,2023,12
101230003250,3,202312,202312,2023,12
101230003245,2,202312,202312,2023,12
101230003251,8,202312,202312,2023,12
101230003249,4,202312,202312,2023,12
101230003253,4,202312,202312,2023,12
101230003255,1,202312,202312,2023,12
101230003260,4,202312,202312,2023,12
101230003259,1,202312,202312,2023,12
101230003271,8,202312,202312,2023,12
101230003263,8,202312,202312,2023,12
101230003266,4,202312,202312,2023,12
101230003267,4,202312,202312,2023,12
101230003277,8,202312,202312,2023,12
101230003279,4,202312,202312,2023,12
101230003284,5,202312,202312,2023,12
101230003294,8,202312,202312,2023,12
101230003291,8,202312,202312,2023,12
101230003295,8,202312,202312,2023,12
101230003292,4,202312,202312,2023,12
101230003300,4,202312,202312,2023,12
101230003305,4,202312,202312,2023,12
101230003304,8,202312,202312,2023,12
101230003321,4,202312,202312,2023,12
101230003312,4,202312,202312,2023,12
101230003316,4,202312,202312,2023,12
101230003320,4,202312,202312,2023,12
101230003326,4,202312,202312,2023,12
101230003330,8,202312,202312,2023,12
101230003341,4,202312,202312,2023,12
101230003338,4,202312,202312,2023,12
101230003340,4,202312,202312,2023,12
101230003336,8,202312,202312,2023,12
101230003345,4,202312,202312,2023,12
101230003342,4,202312,202312,2023,12
101230003319,4,202312,202312,2023,12
